,run,FolderName,Env,SampleID,Bat,Cow,Human,Unknown,Bat_std,Cow_std,Human_std,Unknown_std
3,2,Bat_1Sources_DrawNo4_r2,Bat_1Sources_DrawNo4,Bat-poo-C,0.0493,5e-05,0.0,0.95065,0.0016613247725836,0.00015,0.0,0.0016889345754054
0,3,Bat_1Sources_DrawNo4_r3,Bat_1Sources_DrawNo4,Bat-poo-6,0.3818,5e-05,0.0,0.61815,0.003340658617698,0.00015,0.0,0.0033693471177662
1,3,Bat_1Sources_DrawNo4_r3,Bat_1Sources_DrawNo4,Bat-poo-5,0.009,0.0001,0.0,0.9909,0.001,0.0002,0.0,0.0010198039027185
2,3,Bat_1Sources_DrawNo4_r3,Bat_1Sources_DrawNo4,Bat-poo-4,0.8451000000000001,0.0,0.0,0.1548999999999999,0.0008602325267042,0.0,0.0,0.0008602325267042
3,3,Bat_1Sources_DrawNo4_r3,Bat_1Sources_DrawNo4,Bat-poo-C,0.0490499999999999,0.0001,0.0,0.95085,0.0028674901917879,0.0002,0.0,0.0028022312538404
0,4,Bat_1Sources_DrawNo4_r4,Bat_1Sources_DrawNo4,Bat-poo-6,0.37875,5e-05,0.0,0.6212,0.0056402570863392,0.00015,0.0,0.0056133768802744
1,4,Bat_1Sources_DrawNo4_r4,Bat_1Sources_DrawNo4,Bat-poo-5,0.0098999999999999,0.0,0.0,0.9901000000000002,0.0004898979485566,0.0,0.0,0.0004898979485566
2,4,Bat_1Sources_DrawNo4_r4,Bat_1Sources_DrawNo4,Bat-poo-4,0.8449000000000002,0.0,0.0,0.1551,0.0007681145747868,0.0,0.0,0.0007681145747868
3,4,Bat_1Sources_DrawNo4_r4,Bat_1Sources_DrawNo4,Bat-poo-C,0.0487499999999999,5e-05,0.0,0.9511999999999998,0.0012893796958227,0.00015,0.0,0.0012688577540449
0,5,Bat_1Sources_DrawNo4_r5,Bat_1Sources_DrawNo4,Bat-poo-6,0.3785499999999999,5e-05,0.0,0.6214,0.0051012253429935,0.00015,0.0,0.0051903757089443
1,5,Bat_1Sources_DrawNo4_r5,Bat_1Sources_DrawNo4,Bat-poo-5,0.00945,0.0,0.0,0.99055,0.00056789083458,0.0,0.0,0.00056789083458
2,5,Bat_1Sources_DrawNo4_r5,Bat_1Sources_DrawNo4,Bat-poo-4,0.8454,0.0,0.0,0.1546,0.0005830951894845,0.0,0.0,0.0005830951894845
3,5,Bat_1Sources_DrawNo4_r5,Bat_1Sources_DrawNo4,Bat-poo-C,0.0493499999999999,0.0,0.0,0.95065,0.0024904818810824,0.0,0.0,0.0024904818810824
0,1,Bat_1Sources_DrawNo5_r1,Bat_1Sources_DrawNo5,Bat-poo-6,0.0043,0.0,0.0,0.9957,0.0018466185312619,0.0,0.0,0.0018466185312619
1,1,Bat_1Sources_DrawNo5_r1,Bat_1Sources_DrawNo5,Bat-poo-5,0.0494999999999999,0.0001,0.0,0.9504,0.0041170377700477,0.0002,0.0,0.0040914545090957
2,1,Bat_1Sources_DrawNo5_r1,Bat_1Sources_DrawNo5,Bat-poo-4,0.00145,0.0001,0.0,0.99845,0.0007889866919029,0.0002,0.0,0.00085
3,1,Bat_1Sources_DrawNo5_r1,Bat_1Sources_DrawNo5,Bat-poo-3,0.00215,0.0001,0.0,0.99775,0.0012658988901172,0.0002,0.0,0.0011672617529928
0,2,Bat_1Sources_DrawNo5_r2,Bat_1Sources_DrawNo5,Bat-poo-6,0.0045499999999999,0.0001,0.0,0.99535,0.0013499999999999,0.0002,0.0,0.0013047988350699
